attack,file_name,csv_name,dataset_name,model_name,adv_size,success_rate,L2,L1,Linf,L0,mse,uqi,ergas,sam,scc,vifp,rase,psnrb,magnet_det,squeezer_det,is_succ,cifar_idx
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.614987075288023,56.68764914354474,0.10000000000000003,3053.0,0.000849017986115678,0.9979523696643202,2632.34113324545,0.044793527847826725,0.8809739789711509,1.0081793176253655,379.7503946693582,30.579163755112283,0,0,0,45
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6153754854425946,56.79377377772357,0.10000000000000003,3072.0,0.0008494264189351882,0.9962057183038517,3453.748908538461,0.06375451650707284,0.9247205116137979,1.0412051632652193,497.9858203696028,26.016539287990454,0,0,0,47
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6158227159200047,56.80045440918583,0.10000000000000003,3072.0,0.0008498968259385092,0.9963986587142125,3363.8401541125527,0.06653348621261314,0.8406681836007698,1.0042475552512633,482.3376468072897,30.57797108848035,0,0,0,48
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6156010558752134,56.79225228531012,0.10000000000000003,3069.0,0.0008496636626774429,0.9945899786740889,4198.153236252638,0.05536726647954789,0.8603106205294795,0.9805694779499515,606.1548251419624,30.582358707245202,0,0,0,50
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.615467609530013,56.78595994824781,0.10000000000000003,3072.0,0.0008495233064585335,0.9950317735159487,3882.057774552277,0.06513050141097942,0.8022485288030138,0.9484700725911779,557.875337361763,30.577971088480346,0,0,0,51
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6105702758571665,56.57302411429346,0.10000000000000003,3071.0,0.000844380408032106,0.997560203630265,2691.025556444344,0.046207809676097646,0.7771421844625573,0.9988668994161367,388.37159318309784,30.652214296757556,0,0,0,54
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.614896756985606,56.729236746680755,0.10000000000000003,3068.0,0.0008489230259513765,0.9975599829944181,3011.735002631438,0.05292411311105228,0.9532254511432692,1.0195160102252763,434.3594017741266,30.58731049524981,0,0,0,56
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6159065055078459,56.80513713052953,0.10000000000000003,3072.0,0.0008499849721818288,0.9973162863965874,3024.3164866335273,0.052912281847420285,0.7948363602870984,0.930855293250055,435.55426950332276,30.577971088480346,0,0,0,59
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.615277583449119,56.79171736497413,0.1,3072.0,0.0008493234608050864,0.9975173835532817,2848.8929021760223,0.04930553840010434,0.872786786328141,0.9584548565400155,408.32079878309344,29.12232503875608,1,0,0,60
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6101004194514024,56.3303219490858,0.1,3053.0,0.0008438878127335877,0.9643962706415522,9634.613267343004,0.0902562390418918,0.8680914931707647,1.0123750464311077,1360.619492630774,30.59715489712265,0,0,0,62
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6159049941058314,56.80504830535045,0.10000000000000003,3072.0,0.0008499833821537002,0.9949930938757432,4173.13422367236,0.06379003293060133,0.8973415688831419,1.0344425404762294,600.4520463507641,30.577971088480346,0,0,0,64
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6153277676793245,56.77564278791257,0.1,3071.0,0.0008493762360142805,0.9949671716015561,4092.688117156749,0.055862605244665235,0.8814567270658302,0.9890578942678815,590.167205815685,30.58148019836001,0,0,0,66
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6157446391397312,56.80119678153035,0.10000000000000003,3072.0,0.0008498146936552021,0.9953978829574033,3963.0306960286157,0.07509428931672653,0.8528398170492775,1.017255506448276,569.7081294003879,30.57909875975681,0,0,0,71
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6159065055078459,56.80513713052953,0.09999999999999998,3072.0,0.0008499849721818287,0.9983446852428598,2397.6813981786945,0.042737856489986535,0.5762676343828255,0.9529681559304017,345.7491096863492,24.127105694317134,0,0,0,72
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6159065055078459,56.80513713052953,0.10000000000000003,3072.0,0.0008499849721818288,0.9976447641130181,2755.3753180555423,0.05658807533395186,0.688140053497051,0.9541609471392416,397.75261089662087,30.577971088480346,0,0,0,73
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6159065055078459,56.80513713052953,0.1,3072.0,0.0008499849721818288,0.9960429865347923,3460.223125586381,0.05776359249968882,0.6558609733341664,0.9699368772401536,496.902619427479,30.577971088480346,0,0,0,75
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6159065055078459,56.80513713052953,0.10000000000000003,3072.0,0.0008499849721818288,0.9974687952705867,2997.6710766259002,0.04949754521405746,0.8654088011977241,1.0214125982368725,432.10589616874626,30.577971088480346,0,0,0,76
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.584091440789968,53.739244083507785,0.09999999999999998,2900.0,0.0008168443010364703,0.9985976075871669,2057.825632004433,0.031866447605553704,0.7220034151733844,0.9933091559268575,297.02154564576784,30.748428101336604,0,0,0,79
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.615803270512238,56.79794771528036,0.10000000000000003,3072.0,0.0008498763701165509,0.9980162976410719,2461.777333487474,0.041974946273506335,0.7570465680768383,1.0031287355408536,355.45470425191536,27.86616784136634,0,0,0,80
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.606520098639573,55.981894029968174,0.10000000000000003,2905.0,0.0008401389411890961,0.9772070824469469,6997.978262109925,0.09847071842549755,0.7257761236105615,1.0220905974118766,1006.3301690976255,21.51738729126558,0,0,0,81
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.615852244101449,56.80193354870083,0.10000000000000003,3072.0,0.0008499278889217736,0.9981776766657714,2472.417901893187,0.041424920898993266,0.7908723607137427,0.996969217001107,356.2667796458856,30.577971088480346,0,0,0,88
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6154364944162647,56.77278583759679,0.10000000000000003,3072.0,0.0008494905818658563,0.9978415990554071,2681.180584381933,0.05061835960375066,0.780761537896108,0.9861054230428064,386.6420767853906,21.532799226101147,0,0,0,90
uni,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,52,0.388235294117647,1.6134322211432375,56.68736647587981,0.09999999999999998,3068.0,0.0008473839623122397,0.9987021276624031,2028.6362925389217,0.037565981604470854,0.7049509484915958,0.9880239899199461,293.2099923265553,30.57951481355184,0,0,0,92
