attack,file_name,csv_name,dataset_name,model_name,adv_size,success_rate,L2,L1,Linf,L0,mse,uqi,ergas,sam,scc,vifp,rase,psnrb,magnet_det,squeezer_det,is_succ
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,16.1079198877957,734.9372715434315,0.8549019607843137,3072.0,0.006817115471821594,0.9642458417780952,11519.275947877633,0.18380279514541384,0.6704073422583788,0.9224198844741642,1654.8433678838094,21.573270001026682,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,18.689818082802635,862.6902286579797,0.9392157175961663,3072.0,0.006623222850541975,0.9869463865272826,7004.416230856876,0.1426723112911287,0.5148417572079711,1.0059897171004977,1009.554099513812,21.799334485611567,0,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,18.444463850269383,875.3117480998822,0.8803921546713979,3072.0,0.006577997716632866,0.9661592635796715,11919.555310517288,0.18588229566192402,0.44149467329648,0.9786156596742015,1715.6878514559965,21.624572179532294,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,16.325484926361717,753.3039305454668,0.8431372549019608,3072.0,0.006531489491465591,0.9832689065618908,8065.241243233888,0.13992182438295794,0.5007976676234404,0.9828444805886708,1161.4932817880942,21.614769812290238,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,17.606630568241055,767.8647224413705,0.9392156870926127,3072.0,0.00658723489229433,0.9794063116154271,9266.300716226673,0.14410625777495967,0.6438095437885399,0.9520460739055799,1337.119960834569,21.864342230480716,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,19.824138227566504,885.0137132792788,0.996078431372549,3072.0,0.006575507240797781,0.947873350213344,12615.549666191988,0.2699782262536832,0.5206967350977534,0.9963641777956423,1795.311564495612,21.638952985380055,0,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,20.73678969584592,931.8764542574099,0.984313725490196,3072.0,0.006483380151356989,0.9155054916002197,18665.489841613602,0.31001136456546424,0.4472272064784582,0.9434111017192365,2678.126157279456,21.81192379007939,0,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,15.703817787754366,730.237290640526,0.743137296742084,3072.0,0.006585287207183106,0.9857859991870904,7478.650499494536,0.1615147725840402,0.2928371679905462,1.0029530496106933,1078.1064842353003,21.809960889897862,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,18.768184474257072,882.8196431659017,0.9058823529411765,3072.0,0.006645240943927736,0.9869160069225273,7142.346527600039,0.15681855466904246,0.5122543252772037,0.9828564778175471,1030.4703724165063,21.621347249083655,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,17.24751694386169,789.3882263939754,0.7725490196078432,3072.0,0.00663589494084865,0.9713110225350561,10679.756599329752,0.15412034803389488,0.47092106791236227,0.9410549792428934,1541.1653210890172,21.83569666773517,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,18.55685360185669,870.2039196606067,0.8941176470588236,3072.0,0.00659716787866637,0.9662062559012962,11808.483409096454,0.17887251855156563,0.42583737957213025,0.9622746905817531,1703.1097205865979,21.343184049050834,0,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,23.57088147506265,1095.6078477822389,0.9352940975158822,3067.0,0.006120428947996181,0.9916740653833522,5888.9175610760585,0.1113431371167297,0.7010878983540915,0.9582335087258272,849.9920347806942,22.07915462438575,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,17.196548369076204,762.5059018505262,0.9176470588235294,3072.0,0.006661711792620133,0.9856027583798032,7620.926463139735,0.13556685920125033,0.6407691793610609,0.9750651554672632,1099.8521293569202,21.860478608419083,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,17.45000818470898,782.560806095863,0.9000000336590935,3072.0,0.0067431881583962265,0.9882739888497767,6789.353807379999,0.1496720796269916,0.45577426187565484,0.9803562394194353,979.892573278864,21.68359761436114,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,15.49968403407723,696.29609177881,0.8627450980392157,3072.0,0.00655332391846065,0.9873581711473555,7275.426555691418,0.14000067819110643,0.6126940127785764,1.0019702615112676,1049.7351603791217,21.94788259284987,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,30.725897946338222,1479.9156731611374,1.0,3072.0,0.006354047990580887,0.9203347562132055,18017.08568494471,0.34497818131972435,0.5413924020429178,1.0359510483183694,2573.706471543874,21.706112302517546,0,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,18.921562843453632,883.3705770047563,0.9215686274509803,3071.0,0.006221892607419766,0.9581159577946566,14677.073030033971,0.18848747467375357,0.5338634852511414,0.9252502880306454,2118.2479964782333,22.162779053422224,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,19.81829234125408,906.5803799519936,0.8666666666666667,3072.0,0.006524999387382817,0.9667852134857341,11572.379886850867,0.1900882279981869,0.45459719161479484,0.9531869006299081,1669.0357175918862,21.845280520931922,0,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,17.190003218675805,766.513715641259,0.8862745098039215,3072.0,0.006538118511742065,0.9764627225124225,7997.0350059304765,0.16302917918308815,0.3958151144925761,0.9122680435915337,1145.9139012129663,21.70860573285015,0,1,1
