attack,file_name,csv_name,dataset_name,model_name,adv_size,success_rate,L2,L1,Linf,L0,mse,uqi,ergas,sam,scc,vifp,rase,psnrb,magnet_det,squeezer_det,is_succ,cifar_idx
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,1.1747342652512374,6.800041018864686,0.4000001217804703,3072.0,0.0004492189433448451,0.9980777779351565,1904.0668867051058,0.04544231217907227,0.9405204980186914,0.9916704546413587,278.6514906051036,26.47826699681376,0,0,1,82
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,0.898379736297572,4.668667014206168,0.4117647058823529,3072.0,0.0002627233563118799,0.9995259997025298,916.0962482045948,0.020956505164066625,0.9539979172867225,0.9858961349873878,132.22710387613222,33.76132938683037,0,0,1,83
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,0.979598013788995,7.5980741346291545,0.2000000766679353,3047.0,0.00031237378535785943,0.9992535096107066,1037.8431413991018,0.02142652058630311,0.9556557424433354,0.9949682668863803,149.69131916264618,35.33740904709453,0,0,1,84
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,1.135648145647041,10.313757521713926,0.22352941176470587,3072.0,0.00041982314801808704,0.9993506524703547,1193.635569713671,0.027020395288919734,0.9103849796807663,1.0252192126264033,171.47383391099697,32.85762538440564,0,0,1,88
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,0.24494898534957874,0.4000444608283993,0.20000000245430888,3072.0,1.9531251765556035e-05,0.9998465096621928,269.21181485420436,0.004816775787819901,0.9986067031891426,0.9980543603095858,38.39679561517944,155.31171066826852,0,0,1,89
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,1.360663021217534,9.32945843866351,0.6000000691881366,3071.0,0.0006026705264677172,0.9980797469392941,2133.8698052464474,0.04192957070633565,0.9494431988099133,0.9989657163535579,308.96995789478456,21.294276602744098,0,0,1,90
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,1.0367546208070297,7.425522720726107,0.40000007339552335,3065.0,0.0003498893697150807,0.9995304774512971,1072.6259946015302,0.024752124268833883,0.9380514158999711,0.9973034016997447,155.32618119199424,34.125733421489265,0,0,1,92
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,0.7745967383755367,3.4000360384857395,0.4000000668506996,3064.0,0.00019531253486393865,0.9975512520211679,2009.3824300295662,0.027828657545361152,0.9797172676169632,0.9954093305811221,286.38960334318466,36.30088588268463,0,0,1,93
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,0.969536056394683,6.000023849571446,0.3000000514236151,3072.0,0.00030598963693012827,0.9980053962877009,1860.9493242704307,0.0438725268309742,0.9297057682404132,0.9983949412367616,268.70986397434393,26.30325975782199,0,0,1,94
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,1.1045362416855906,6.400039325040932,0.6000001206117518,3072.0,0.0003971355173167089,0.999108460608641,840.1707757634878,0.03571389531152437,0.9561711356521051,0.9899583328252755,120.64329411071748,32.779060580062065,0,1,1,95
