attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_l0,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
uni,True,,100.0,500,5.0,,0.7,2.0,,,,,,,,uni5.01000.72.0_succ,gen_list_uni_2,cifar,conv12,100,85,37,0.43529411764705883,1.5268220734596252,1.393444838139692,56.05118880076172,0.14177374816408336,83.02702702702703,0.0006321118771362032,0.9969137565861115,3165.176077289072,0.049680286670774794,0.8239897549350426,0.9982753550566589,455.29995234706274,31.556709950433024
uni,False,,100.0,500,5.0,,0.7,2.0,,,,,,,,uni5.01000.72.0_miss,gen_list_uni_2,cifar,conv12,100,85,48,0.43529411764705883,1.5268220734596252,1.3831699567318825,55.48196287407048,0.14106673141515322,63.979166666666664,0.0006232616775797815,0.9960311417640059,3380.5240598696405,0.05267462776294618,0.8321240186959029,0.9936387423596343,485.9682022177646,31.556709950433024
uni,True,,100.0,500,5.0,,0.5,2.0,,,,,,,,uni5.01000.52.0_succ,gen_list_uni_2,cifar,conv12,100,85,39,0.4588235294117647,1.133595702648163,1.34159314772859,54.8997401037643,0.11895410126330805,78.74358974358974,0.000585955144933191,0.9970679165885252,3070.152623075073,0.04844631663255246,0.8186472397075908,0.9975281717759636,441.7123272803166,31.751404371758106
uni,False,,100.0,500,5.0,,0.5,2.0,,,,,,,,uni5.01000.52.0_miss,gen_list_uni_2,cifar,conv12,100,85,46,0.4588235294117647,1.133595702648163,1.33271129472578,54.358050462941385,0.11861643076247881,51.21739130434783,0.0005785488306147092,0.9963191816357863,3243.237108837553,0.05078716504006435,0.8273471274967177,0.9947571006802364,466.6755167513404,31.751404371758106
uni,True,,100.0,500,5.0,,0.2,2.0,,,,,,,,uni5.01000.22.0_succ,gen_list_uni_2,cifar,conv12,100,85,32,0.3764705882352941,154.15093101739885,1.5917560394066326,55.451163367970814,0.1670614686319788,96.0,0.0008250299877774116,0.9950880706909262,3812.3052708709065,0.060040900265417946,0.8098592349688611,0.9920303810676493,546.6864543916453,29.786793684356233
uni,False,,100.0,500,5.0,,0.2,2.0,,,,,,,,uni5.01000.22.0_miss,gen_list_uni_2,cifar,conv12,100,85,53,0.3764705882352941,154.15093101739885,1.599034679856926,55.7291878842746,0.1671374323194529,57.943396226415096,0.0008323739744315182,0.9952611549255245,3578.9400768375426,0.05757876938180253,0.8282041507762474,0.9979138810905139,514.0620673422469,29.786793684356233
uni,True,,100.0,500,10.0,,0.9,2.0,,,,,,,,uni10.01000.92.0_succ,gen_list_uni_2,cifar,conv12,100,85,41,0.4823529411764706,1.4227684044837952,1.3319839412339012,52.72017955062857,0.1397093505251641,74.92682926829268,0.0005776290025719457,0.9972792306079679,2989.833156565822,0.04816513285761016,0.8249387973204315,0.9971891595487521,429.94432661989,31.906683862276633
uni,False,,100.0,500,10.0,,0.9,2.0,,,,,,,,uni10.01000.92.0_miss,gen_list_uni_2,cifar,conv12,100,85,44,0.4823529411764706,1.4227684044837952,1.3254044778609566,52.30571358076,0.13970354242439573,56.65909090909091,0.0005721046416970955,0.9963108332292674,3235.9644880741007,0.05032413198854724,0.8437520518049204,0.9939209501924595,465.25834996678964,31.906683862276633
uni,True,,100.0,500,10.0,,0.7,2.0,,,,,,,,uni10.01000.72.0_succ,gen_list_uni_2,cifar,conv12,100,85,24,0.2823529411764706,1.083666877746582,1.1790900876611143,43.31244607549039,0.12369862203212349,127875,0.00045264971590007973,0.996596522959531,3177.8833896231577,0.045328458461290945,0.8538821769428845,0.9965133423356928,456.5022582257307,32.44761657600935
uni,False,,100.0,500,10.0,,0.7,2.0,,,,,,,,uni10.01000.72.0_miss,gen_list_uni_2,cifar,conv12,100,85,61,0.2823529411764706,1.083666877746582,1.1816791384190914,43.47472769973393,0.12355666316731939,50.31147540983606,0.00045465015037819993,0.9974058920566997,2752.31566950665,0.04311756770650208,0.8680771170604789,0.9964971515374422,395.44228476058294,32.44761657600935
