L0,L1,L2,Linf,adv_size,attack,cifar_idx,csv_name,dataset_name,ergas,file_name,is_succ,magnet_det,model_name,mse,psnrb,rase,sam,scc,squeezer_det,success_rate,uqi,vifp
3072.0,210.8980711671067,4.587608871916637,0.10000005352730845,85.0,bim,76.0,gen_list_1,cifar,7704.417386371486,bim0.10.1_succ,1.0,0.0,conv12,0.0068509619666953896,21.557699253423234,1111.771611416324,0.14384593400080223,0.5725626149543804,0.0,1.0,0.9859356474313449,0.973432160801353
3072.0,199.66276762126122,4.450982313546532,0.10000005352730845,85.0,bim,77.0,gen_list_1,cifar,8918.624818659853,bim0.10.1_succ,1.0,0.0,conv12,0.006448972511557303,21.958572244676617,1286.0495204472895,0.17782744782543483,0.4508663171524738,0.0,1.0,0.978786557580888,0.9712911266813608
2814.0,180.59807408452033,4.170050519130643,0.10000005352730845,85.0,bim,79.0,gen_list_1,cifar,4962.812491165975,bim0.10.1_succ,1.0,0.0,conv12,0.00566058637112687,22.413165248355583,716.3202819280783,0.08454435597793812,0.42017941659867075,0.0,1.0,0.9928091449436384,0.904948776235011
3072.0,206.18238935058605,4.491720857800756,0.10000005352730845,85.0,bim,80.0,gen_list_1,cifar,6064.311796611404,bim0.10.1_succ,1.0,0.0,conv12,0.006567563888151808,21.77336923155945,875.3491599132656,0.1211161548030999,0.3549868230846629,0.0,1.0,0.9903730789268326,0.9937610193772772
2914.0,190.4137397384819,4.249959812709963,0.10000005329356476,85.0,bim,81.0,gen_list_1,cifar,19239.90420226077,bim0.10.1_succ,1.0,0.0,conv12,0.005879608857307848,19.693651145202583,2757.7922078165493,0.2530010120413382,0.44974902216520657,0.0,1.0,0.8944865500291624,0.9707459545123106
3072.0,204.70590694149337,4.521059474559842,0.10000005352730845,85.0,bim,82.0,gen_list_1,cifar,9357.513280020476,bim0.10.1_succ,1.0,0.0,conv12,0.006653638923342223,21.82016999635975,1346.33544825457,0.17898358542636741,0.4534133245693619,0.0,1.0,0.9729267304561238,0.9722416191136297
3072.0,202.41769573054478,4.442418468701042,0.10000005352730845,85.0,bim,83.0,gen_list_1,cifar,5001.7093453632715,bim0.10.1_succ,1.0,0.0,conv12,0.0064241802900573295,22.014466017756234,721.9345592384379,0.10659300801420686,0.4845679019482201,0.0,1.0,0.9935940042691557,0.9888696601359159
3059.0,196.97259353752816,4.39518787394536,0.10000005352730845,85.0,bim,84.0,gen_list_1,cifar,5551.693913076651,bim0.10.1_succ,1.0,0.0,conv12,0.006288306135181096,22.170399332966216,801.2257166802967,0.10558578986590161,0.3332058028544843,0.0,1.0,0.9918517008090889,0.9903836156911306
3072.0,202.75297712794708,4.4603327687872385,0.10000005352730845,85.0,bim,88.0,gen_list_1,cifar,6072.060341081424,bim0.10.1_succ,1.0,0.0,conv12,0.006476096487082433,21.98793390119807,876.1474625862205,0.11938393362332417,0.48939020475603473,0.0,1.0,0.9905869487455208,0.9996389512493539
3072.0,206.27453726451188,4.528751605023224,0.10000005352730845,85.0,bim,89.0,gen_list_1,cifar,7759.116356847591,bim0.10.1_succ,1.0,0.0,conv12,0.006676299186198057,21.82426293327812,1119.7498630184996,0.15026303342508768,0.5764557033975466,0.0,1.0,0.9846073767558444,0.9459471991872714
